x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-9.3300E-03,+1.5079167E+00,+35.1134E-03,-602.1799E-03,-10.1403E-03
-9.3200E-03,+1.5062761E+00,+0.0E+00,-563.7159E-03,-10.7113E-03
-9.3100E-03,+1.5394663E+00,+0.0E+00,-245.3939E-03,-9.3724E-03
-9.3000E-03,+1.5230400E+00,-16.7089E-03,+418.4102E-03,-7.6971E-03
-9.2900E-03,+1.5232676E+00,+0.0E+00,+78.5800E-03,-8.6519E-03
-9.2800E-03,+1.5141203E+00,+51.2571E-03,-251.0458E-03,-16.8622E-03
-9.2700E-03,+1.5389561E+00,-1.5856E-03,-235.1894E-03,-13.2940E-03
-9.2600E-03,+1.5157060E+00,+0.0E+00,-543.3070E-03,-12.0502E-03
-9.2500E-03,+1.4728033E+00,-30.8118E-03,-251.0458E-03,-8.6497E-03
-9.2400E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-7.2361E-03
-9.2300E-03,+1.5044079E+00,+59.4727E-03,-251.0458E-03,-9.6713E-03
-9.2200E-03,+1.4728033E+00,-45.9350E-03,-500.2904E-03,-13.3891E-03
-9.2100E-03,+1.5062761E+00,-28.6609E-03,-633.8926E-03,-12.2427E-03
-9.2000E-03,+1.5005827E+00,+0.0E+00,+304.5421E-03,-6.4943E-03
-9.1900E-03,+1.4786906E+00,-5.8873E-03,-192.1729E-03,-7.7980E-03
-9.1800E-03,+1.4843840E+00,-23.1614E-03,-251.0458E-03,-6.2821E-03
-9.1700E-03,+1.5062761E+00,-26.5101E-03,-251.0458E-03,-10.4596E-03
-9.1600E-03,+1.5639857E+00,-9.2360E-03,+418.4102E-03,-9.9265E-03
-9.1500E-03,+1.4848605E+00,+0.0E+00,-251.0458E-03,-14.2457E-03
-9.1400E-03,+1.4854594E+00,-25.3122E-03,-1.0837134E+00,-9.6988E-03
-9.1300E-03,+1.5366828E+00,-42.5863E-03,-68.7751E-03,-8.2788E-03
-9.1200E-03,+1.5098187E+00,+0.0E+00,+418.4102E-03,-7.8918E-03
-9.1100E-03,+1.5113706E+00,-10.1889E-03,-149.1563E-03,-8.0335E-03
-9.1000E-03,+1.4925446E+00,+27.4631E-03,-251.0458E-03,-8.8231E-03
-9.0900E-03,+1.5173803E+00,+0.0E+00,-698.4175E-03,-8.9218E-03
-9.0800E-03,+1.5323474E+00,-4.9343E-03,+369.0669E-03,-10.5139E-03
-9.0700E-03,+1.4851431E+00,+0.0E+00,+418.4102E-03,-6.6946E-03
-9.0600E-03,+1.5210831E+00,+0.0E+00,+418.4102E-03,-9.3724E-03
-9.0500E-03,+1.4928609E+00,+0.0E+00,-251.0458E-03,-9.9090E-03
-9.0400E-03,+1.5076679E+00,+0.0E+00,-251.0458E-03,-6.6946E-03
-9.0300E-03,+1.5062761E+00,-14.4906E-03,-251.0458E-03,-8.3233E-03
-9.0200E-03,+1.5079842E+00,+0.0E+00,-251.0458E-03,-5.9226E-03
-9.0100E-03,+1.4973227E+00,-49.0388E-03,+239.3424E-03,-11.6921E-03
-9.0000E-03,+1.5397489E+00,-66.3129E-03,-244.7191E-03,-6.7325E-03
-8.9900E-03,+1.5314282E+00,+50.3042E-03,-84.6315E-03,-13.3891E-03
-8.9800E-03,+1.4893183E+00,-33.0301E-03,-251.0458E-03,-8.6941E-03
-8.9700E-03,+1.5062761E+00,+0.0E+00,+103.2911E-03,-11.4200E-03
-8.9600E-03,+1.5397489E+00,+0.0E+00,-251.0458E-03,-9.3420E-03
-8.9500E-03,+1.4968800E+00,+0.0E+00,-63.1232E-03,-8.7852E-03
-8.9400E-03,+1.5036825E+00,-30.8792E-03,-251.0458E-03,-11.6401E-03
-8.9300E-03,+1.5130787E+00,+0.0E+00,-784.4506E-03,-8.0551E-03
-8.9200E-03,+1.5044416E+00,+0.0E+00,-251.0458E-03,-10.4178E-03
-8.9100E-03,+1.5397489E+00,-20.9431E-03,-41.6149E-03,-13.3068E-03
-8.9000E-03,+1.5397489E+00,+0.0E+00,+418.4102E-03,-8.6080E-03
-8.8900E-03,+1.5340218E+00,+0.0E+00,-251.0458E-03,-7.6109E-03
